respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.07552213448535967,0.21502956936696077
26708,0.09574972641463125,0.09771498424761425
26709,0.2810854143712991,0.7247325687343873
26710,0.679012382953119,0.8951692398814504
26711,0.21531049300890745,0.45990283093614276
26712,0.8597441887472406,0.978466905984591
26713,0.16145849488433878,0.5379270877986232
26714,0.16028960905578638,0.1411904963522951
26715,0.07431882835776765,0.0923242859083314
26716,0.242136489339096,0.9480963878044635
26717,0.025012333011098283,0.4429106667285113
26718,0.2547260614882746,0.6181236136696037
26719,0.07104798245314756,0.9424474221861016
26720,0.024380396469365347,0.23519085252228172
26721,0.2946646558305493,0.2939825462352719
26722,0.08861271222560607,0.07048239781414643
26723,0.8282935569115841,0.9295242540991432
26724,0.05672972705257512,0.7190548068494095
26725,0.04026333134457431,0.07142638642391134
26726,0.08374693036768999,0.06366672451451899
26727,0.2690042134914328,0.9201791855158475
26728,0.24868750787548058,0.6788896626769789
26729,0.26283367998198653,0.7394094481724541
26730,0.07347309324306166,0.16587205950281
26731,0.11697413173270046,0.4655912874196353
26732,0.12447825315181374,0.15354289421911477
26733,0.995286335196828,0.9847311573951789
26734,0.9009045744730665,0.5838610426879041
26735,0.0815835484989149,0.40641803152400396
26736,0.06657339888641445,0.18590134595541302
26737,0.08251811802585839,0.10873763106335607
26738,0.9042662413388931,0.8716873050025663
26739,0.14851005204773252,0.21680246038636095
26740,0.11838672755590725,0.10218831727516793
26741,0.060300824823583246,0.928956298168194
26742,0.11512321009182919,0.3664616247138368
26743,0.08704624480959669,0.5617463363463809
26744,0.03013033443745776,0.7380040664280738
26745,0.022646659563397422,0.937478782501991
26746,0.16914436644504768,0.28844852009709754
26747,0.06754003932959318,0.14444299382990342
26748,0.042193910153660814,0.061107679894472314
26749,0.10072358950823922,0.6729531432531132
26750,0.3933417341597393,0.900398858313571
26751,0.6160788908195206,0.8253924888162314
26752,0.15859995768511512,0.08702396435497503
26753,0.22804845173933747,0.7202042609129824
